ID,melfixcnthierachy,melfixcntmodel, melfixcnttask, melfixcnttext, lelfixcnthierachy, lelfixcntmodel, lelfixcnttask, lelfixcnttext, melfixdurhierachy, melfixdurmodel, melfixdurtask, melfixdurtext,lelfixdurhierachy, lelfixdurmodel, lelfixdurtask, lelfixdurtext,melswitches,lelswitches,SUS,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10, mousecnthierachy, mousecntmodel, mousecnttask, mousecnttext, mfixdurhierachy, mfixdurmodel, mfixdurtask, mfixdurtext, melmousecnthierachy, melmousecntmodel, melmousecnttask, melmousecnttext, melmousefixdurhierachy, melmousefixdurmodel, melmousefixdurtask, melmousefixdurtext, lelmousecnthierachy, lelmousecntmodel, lelmousecnttask, lelmousecnttext, lelmousefixdurhierachy, lelmousefixdurmodel, lelmousefixdurtask, lelmousefixdurtext,melacc1,melacc2,lelacc1,lelacc2,melconf1,melconf2,lelconf1,lelconf2
1,20,486,617,277,17,439,474,109,0.5754885,0.4933206,0.5004385,0.5003831,0.5101671,0.4527931,0.4599838,0.391812,166,175,90,4,4,4,4,4,4,2,3,4,3,66,1226,1638,246,0.4258776,0.4976205,0.4711886,0.4650897,19,702,602,126,0.3671868,0.5283654,0.4573274,0.5066497,36,446,578,115,0.4106111,0.4510078,0.4290744,0.4241507,0,1,1,1,h,h,h,h
2,9,197,265,114,49,317,403,365,0.3297211,0.2669126,0.2986326,0.2871191,0.2701763,0.2782154,0.3186288,0.3007178,107,233,52.5,2,2,2,4,2,2,1,1,2,3,95,684,1992,623,0.2644623,0.2723529,0.3012778,0.2552173,8,261,539,91,0.2183313,0.2761478,0.2757661,0.2636077,69,266,798,432,0.2494423,0.2815713,0.3045041,0.2611229,0,0,1,0,h,h,h,h
3,6,507,450,181,46,598,367,272,0.2251917,0.5104065,0.4692188,0.3995726,0.4641937,0.5605646,0.4628824,0.4360582,208,291,85,3,4,4,2,3,3,4,4,3,4,99,1133,1487,628,0.3901716,0.4985751,0.4361282,0.408562,20,602,578,223,0.3354465,0.4801096,0.4187634,0.363624,75,498,693,386,0.3882065,0.5244016,0.4357564,0.434299,0,0,0,0,h,h,g,g
4,59,81,305,300,55,179,336,517,0.4482292,0.363943,0.4992571,0.4884939,0.4212587,0.3507722,0.5138842,0.4769965,183,284,80,2,1,2,4,3,4,4,4,4,4,14,122,1113,1185,0.6571021,0.3828407,0.4709731,0.4143489,5,88,422,359,0.524294,0.3806751,0.4659947,0.4408168,1,20,490,821,0.32935,0.41056,0.4556885,0.401524,1,0,1,0,h,h,h,h
5,8,642,520,50,2,1320,553,73,0.661575,0.5521474,0.4774065,0.3703668,0.15686,0.5559724,0.5131772,0.2658123,291,402,60,3,1,4,4,2,1,1,1,3,4,536,1812,1622,348,0.3973175,0.539375,0.4761718,0.3532926,64,642,495,222,0.4011948,0.5190722,0.4862258,0.3955179,449,1130,619,120,0.3949023,0.5554671,0.5016179,0.2769093,1,0,1,1,h,h,l,g
6,1,125,49,27,0,25,7,28,0.23047,0.2617342,0.2581716,0.2630933,0,0.2428128,0.2449786,0.3399839,88,23,85,2,1,4,4,4,4,4,3,4,4,26,20,358,33,0.3236181,0.23838,0.2723304,0.3121461,0,5,224,0,0,0.201172,0.2499304,0,2,0,37,24,0.677735,0,0.2571795,0.3077817,0,0,0,0,l,h,h,h
7,24,23,81,109,3,24,117,79,0.3139508,0.2854374,0.3467205,0.3065801,0.3134767,0.2527871,0.3188017,0.2729273,69,56,65,2,1,3,4,1,2,2,3,4,4,21,20,596,248,0.2976014,0.2407235,0.279725,0.264363,5,9,250,142,0.405762,0.2638211,0.2981386,0.2715832,2,0,291,103,0.543945,0,0.2761497,0.2564949,0,0,1,0,h,h,h,h
8,2,11,129,36,25,92,68,139,0.37114,0.3521536,0.3892919,0.3888975,0.3385188,0.3421865,0.3333432,0.3671079,27,78,92.5,3,4,4,4,4,4,4,3,3,4,36,117,630,194,0.4840339,0.3141155,0.3743359,0.3511202,1,34,113,43,0.41158,0.2415976,0.4163701,0.3973028,19,74,119,151,0.5215432,0.314375,0.3434994,0.3379689,0,0,0,1,g,h,l,l
9,13,251,319,46,60,503,266,65,0.5403769,0.4511589,0.4200871,0.5437435,0.5092428,0.4876669,0.4531502,0.4414492,122,181,77.5,3,3,3,2,4,4,3,4,2,3,254,775,903,54,0.4789672,0.4279168,0.4292798,0.4565852,90,171,408,22,0.5732414,0.4084574,0.3976397,0.4548441,157,596,253,30,0.4229605,0.4323593,0.4684845,0.478983,1,0,1,1,h,h,h,g
10,40,35,96,198,80,55,304,190,0.3343357,0.3175989,0.283741,0.3575378,0.3141359,0.273616,0.3685153,0.4092556,128,215,82.5,3,4,3,3,3,4,2,4,4,3,27,157,1027,817,0.6301674,0.3161264,0.3308793,0.3364945,3,9,314,136,0.5992433,0.3279356,0.289363,0.351025,0,53,368,375,0,0.3247485,0.3416274,0.3538068,1,1,0,0,h,h,h,h
